id,fullName,team,position,status
41273,Jeremy Pena,HOU,SS,Active
41287,Ernie Clement,TOR,3B,Active
41290,Jake Irvin,WSH,SP,Active
41292,Cal Raleigh,SEA,C,Active
41307,Noelvi Marte,CIN,3B,Active
41308,Edwin Uceta,TB,RP,Active
41311,Kody Clemens,MIN,2B,Active
41313,Luken Baker,STL,1B,Active
41326,Xavier Edwards,MIA,SS,Active
41333,Lyon Richardson,CIN,SP,Active
41337,Camilo Doval,SF,RP,Active
41344,Jonathan Bowlan,KC,SP,Active
41355,Geraldo Perdomo,ARI,SS,Active
41364,Hogan Harris,ATH,SP,Active
41383,Simeon Woods Richardson,MIN,SP,Active
41386,Mason Englert,TB,RP,Active
41407,Cody Bolton,CLE,RP,Active
41415,Yusei Kikuchi,LAA,SP,Active
41433,Jazz Chisholm Jr.,NYY,2B,Active
41455,Dylan Lee,ATL,RP,Active
41485,Greg Weissert,BOS,RP,Active
41509,Riley O'Brien,STL,RP,Active
41516,Ben Brown,CHC,SP,Active
41557,Enmanuel Valdez,PIT,1B,Active
41587,Ryan Jeffers,MIN,C,Active
41606,Will Vest,DET,RP,Active
41610,Jarren Duran,BOS,LF,Active
41612,Tyler Ferguson,ATH,RP,Active
41644,J.C. Escarra,NYY,C,Active
41684,Lenyn Sosa,CHW,2B,Active
41743,Emmanuel Clase,CLE,RP,Active
41763,John King,STL,RP,Active
41773,Brendan Donovan,STL,2B,Active
41776,Bennett Sousa,HOU,RP,Active
41828,Steven Wilson,CHW,RP,Active
41829,Ronel Blanco,HOU,SP,Active
41852,Cal Stevenson,PHI,CF,Active
41917,Otto Lopez,MIA,2B,Active
41928,Freddy Fermin,KC,C,Active
41939,Eduard Bazardo,SEA,RP,Active
41989,Sean Bouchard,COL,RF,Active
41996,Steven Kwan,CLE,LF,Active
42001,Daniel Schneemann,CLE,2B,Active
42023,Vinny Capra,MIL,3B,Active
42047,Logan O'Hoppe,LAA,C,Active
42081,Alejandro Kirk,TOR,C,Active
42105,Jose Tena,WSH,3B,Active
42106,Jacob Amaya,CHW,SS,Active
42135,Jose Caballero,TB,RF,Active
42161,Grant Anderson,MIL,RP,Active
42171,Anthony Bender,MIA,RP,Active
42178,Adley Rutschman,BAL,C,Active
42179,Riley Greene,DET,LF,Active
42180,Pete Fairbanks,TB,RP,Active
42239,Jacob Lopez,ATH,RP,Active
42359,Cristopher Sanchez,PHI,SP,Active
42360,Curtis Mead,TB,1B,Active
42363,Manuel Rodriguez,TB,RP,Active
42394,Andrew Vaughn,CHW,1B,Active
42401,Jasson Dominguez,NYY,LF,Active
42402,CJ Abrams,WSH,SS,Active
42403,Bobby Witt Jr.,KC,SS,Active
42404,Corbin Carroll,ARI,RF,Active
42409,Tarik Skubal,DET,SP,Active
42410,JJ Bleday,ATH,CF,Active
42411,Luisangel Acuna,NYM,2B,Active
42412,Michael Toglia,COL,1B,Active
42415,Michael Busch,CHC,1B,Active
42416,Kameron Misner,TB,CF,Active
42417,Bryson Stott,PHI,2B,Active
42433,Nick Lodolo,CIN,SP,Active
42434,Jackson Rutledge,WSH,RP,Active
42437,Josh Jung,TEX,3B,Active
42449,Quinn Priester,MIL,SP,Active
42450,Joe Ryan,MIN,SP,Active
42453,Miguel Vargas,CHW,3B,Active
42462,Brenton Doyle,COL,CF,Active
42464,Gabriel Moreno,ARI,C,Active
42468,Andy Pages,LAD,CF,Active
42470,Michael Harris II,ATL,CF,Active
42479,Oswald Peraza,NYY,3B,Active
42480,Taj Bradley,TB,SP,Active
42497,Angel Martinez,CLE,CF,Active
42504,Carlos Vargas,SEA,RP,Active
42507,Gunnar Henderson,BAL,SS,Active
42536,Kyren Paris,LAA,2B,Active
42547,Anthony Volpe,NYY,SS,Active
42548,Jhonkensy Noel,CLE,RF,Active
42584,Drew Rasmussen,TB,SP,Active
42592,Lake Bachar,MIA,RP,Active
42598,Shea Langeliers,ATH,C,Active
42604,Griffin Jax,MIN,RP,Active
42608,Pedro Pages,STL,C,Active
42620,Nick Mears,MIL,RP,Active
42622,Alex Vesia,LAD,RP,Active
42631,Penn Murfee,CHW,RP,Active
42639,Kaleb Ort,HOU,RP,Active
42714,Kerry Carpenter,DET,LF,Active
42753,DaShawn Keirsey Jr.,MIN,RF,Active
42796,Kyle Stowers,MIA,RF,Active
42801,Maverick Handley,BAL,C,Active
42823,Davis Martin,CHW,SP,Active
42826,Romy Gonzalez,BOS,1B,Active
